wavelength,a_w,a_w_unc,delta_celsius,delta_celsius_unc,delta_psu,delta_psu_unc,reference
180,7647,765,1634433,NA,NA,NA,JF2007
185,527,53,107540,NA,NA,NA,JF2007
190,42.4,4.2,8175,NA,NA,NA,JF2007
195,4.23,0.42,725,NA,NA,NA,JF2007
200,0.727,0.073,85,NA,NA,NA,JF2007
205,0.304,0.03,21,NA,NA,NA,JF2007
210,0.207,0.021,12,NA,NA,NA,JF2007
215,0.16,0.016,9,NA,NA,NA,JF2007
220,0.128,0.013,7,NA,NA,NA,JF2007
225,0.104,0.01,6,NA,NA,NA,JF2007
230,0.086,0.009,5,NA,NA,NA,JF2007
235,0.072,0.007,4,NA,NA,NA,JF2007
240,0.061,0.006,4,NA,NA,NA,JF2007
245,0.052,0.005,3,NA,NA,NA,JF2007
250,0.045,0.005,3,NA,NA,NA,JF2007
255,0.0392,0.0039,3,NA,NA,NA,JF2007
260,0.0344,0.0034,2,NA,NA,NA,JF2007
265,0.0303,0.003,2,NA,NA,NA,JF2007
270,0.0269,0.0027,2,NA,NA,NA,JF2007
275,0.024,0.0024,2,NA,NA,NA,JF2007
280,0.0216,0.0022,2,NA,NA,NA,JF2007
290,0.0176,0.0018,1,NA,NA,NA,JF2007
295,0.016,0.0016,1,NA,NA,NA,JF2007
300,0.0147,0.0015,1,5,NA,NA,JF2007
305,0.0134,0.0013,1,4,NA,NA,JF2007
310,0.0124,0.0012,1,3,NA,NA,JF2007
315,0.0114,0.0011,1,2,NA,NA,JF2007
320,0.0106,0.0011,1,2,NA,NA,JF2007
325,0.0098,0.001,0,2,NA,NA,JF2007
330,0.0092,0.0009,0,2,NA,NA,JF2007
335,0.0085,0.0009,0,2,NA,NA,JF2007
340,0.008,0.0008,1,2,NA,NA,JF2007
345,0.0075,0.0007,0,1,NA,NA,Morel2007
350,0.0071,0.0007,-1,2,NA,NA,Morel2007
355,0.0068,0.0007,-1,1,NA,NA,Morel2007
360,0.0066,0.0007,0,1,NA,NA,Morel2007
365,0.0063,0.0007,0,1,NA,NA,Morel2007
370,0.006,0.0007,-0.7,0.6,NA,NA,Morel2007
375,0.0056,0.0007,-1,1,NA,NA,Morel2007
380,0.0052,0.0007,0,2,NA,NA,Morel2007
385,0.005,0.0007,0,1,NA,NA,Morel2007
390,0.0048,0.0007,0,1,NA,NA,Morel2007
395,0.0047,0.0007,-0.2,1,NA,NA,Morel2007
400,0.0046,0.0007,0.1,0.4,0.43,0.1,Morel2007
405,0.0046,0.0007,0.1,0.4,0.37,0.08,Morel2007
410,0.0046,0.0007,0,0.5,0.36,0.08,Morel2007
415,0.0046,0.0006,0.2,0.3,0.34,0.09,Morel2007
420,0.00454,0.0006,0,0.4,0.32,0.08,PF1997
425,0.00478,0.0006,-0.1,0.4,0.28,0.08,PF1997
430,0.00495,0.0006,-0.1,0.3,0.26,0.07,PF1997
435,0.0053,0.0005,0,0.3,0.25,0.06,PF1997
440,0.00635,0.0005,0,0.3,0.22,0.06,PF1997
445,0.00751,0.0006,0.1,0.3,0.19,0.06,PF1997
450,0.00922,0.0005,0.2,0.3,0.17,0.06,PF1997
455,0.00962,0.0004,0.1,0.3,0.16,0.05,PF1997
460,0.00979,0.0005,0.1,0.3,0.14,0.05,PF1997
465,0.01011,0.0006,0,0.3,0.13,0.04,PF1997
470,0.0106,0.0005,-0.1,0.3,0.11,0.05,PF1997
475,0.0114,0.0007,-0.1,0.3,0.09,0.05,PF1997
480,0.0127,0.0008,0,0.3,0.08,0.05,PF1997
485,0.0136,0.0007,-0.1,0.3,0.06,0.04,PF1997
490,0.015,0.0007,-0.1,0.3,0.06,0.04,PF1997
495,0.0173,0.001,0,0.3,0.05,0.04,PF1997
500,0.0204,0.0011,0.1,0.3,0.05,0.04,PF1997
505,0.0256,0.0013,0.3,0.3,0.04,0.04,PF1997
510,0.0325,0.0011,0.8,0.3,0.02,0.04,PF1997
515,0.0396,0.0012,1.2,0.3,0.08,0.04,PF1997
520,0.0409,0.0009,1.1,0.3,0.13,0.04,PF1997
525,0.0417,0.001,0.7,0.3,0.14,0.04,PF1997
530,0.0434,0.0011,0.4,0.3,0.15,0.04,PF1997
535,0.0452,0.0012,0.1,0.4,0.15,0.04,PF1997
540,0.0474,0.001,0,0.3,0.15,0.04,PF1997
545,0.0511,0.0011,-0.1,0.3,0.13,0.04,PF1997
550,0.0565,0.0011,0,0.3,0.13,0.04,PF1997
555,0.0596,0.0012,-0.2,0.3,0.16,0.05,PF1997
560,0.0619,0.001,-0.4,0.3,0.16,0.05,PF1997
565,0.0642,0.0009,-0.6,0.3,0.15,0.05,PF1997
570,0.0695,0.0011,-0.7,0.3,0.13,0.04,PF1997
575,0.0772,0.0011,-0.6,0.4,0.1,0.05,PF1997
580,0.0896,0.0012,0,0.4,0.04,0.05,PF1997
585,0.11,0.0012,1.2,0.4,0.01,0.05,PF1997
590,0.1351,0.0012,2.5,0.4,0.03,0.05,PF1997
595,0.1672,0.0014,4.5,0.4,-0.02,0.05,PF1997
600,0.2224,0.0017,7.9,0.8,-0.16,0.05,PF1997
605,0.2577,0.0019,10.3,0.8,0.43,0.07,PF1997
610,0.2644,0.0019,9.5,0.7,0.75,0.07,PF1997
615,0.2678,0.0019,7.2,0.4,0.83,0.07,PF1997
620,0.2755,0.0025,5.4,0.6,0.84,0.08,PF1997
